Region,Cluster Name,Scope,System,Assigned Date,Inspection Consultant,Devitaion date,Deviation name,Remarks,Number of Deviations,Penalties Amount,Deviation Status
MAKKAH,JED-HRR2-RIYA-66,Inspection,GIS,02-Oct-25,OTC,04-Nov-25,Safety Penalty,(No Signboard No Traffic Sign No Safety net No Proper Safety Barricades Debris on Site),5,"5,000.00 Ń.Ó.ţ",Closed
MAKKAH,JED-HRR2-RIYA-70,Inspection,GIS,21-Aug-25,OTC,26-Nov-25,ODBs No MP,(Sticker Installed),224,,Closed
MAKKAH,JED-HRR2-RIYA-64,Inspection,GIS,21-Aug-25,OTC,26-Nov-25,ODBs No MP,(Sticker Installed),65,,Closed
MAKKAH,JED-HRR2-RIYA-63,Inspection,GIS,21-Aug-25,OTC,26-Nov-25,ODBs No MP,(Sticker Installed),108,,Closed
MAKKAH,JED-HRR2-RIYA-71,Inspection,GIS,21-Aug-25,OTC,26-Nov-25,ODBs No MP,(Sticker Installed),118,,Closed
MAKKAH,JED-HRR2-RIYA-60,Inspection,GIS,21-Aug-25,OTC,02-Dec-25,ODBs No MP,(Sticker Installed),202,,Closed
MAKKAH,JED-HRR2-RAHA-18,Inspection,GIS,30-Nov-25,OTC,28-Dec-25,Quality Penalty,(04 FQNs No Flyer No Material Supply Form No DN & BOQ),12,"12,000.00 Ń.Ó.ţ",Closed
MAKKAH,JED-HRR2-RIYA-25,Inspection,GIS,08-Dec-25,OTC,31-Dec-25,Quality Penalty,(12 FQNs No Flyer No Material Supply Form No DN & BOQ),36,"36,000.00 Ń.Ó.ţ",Closed
MAKKAH,JED-HRR2-RIYA-65,Inspection,GIS,21-Aug-25,OTC,06-Jan-26,ODBs No MP,(Sticker Installed),86,,Closed
MAKKAH,JED-HRR2-RIYA-67,Inspection,GIS,02-Oct-25,OTC,06-Jan-26,ODBs No MP,(Sticker Installed),124,,Closed
MAKKAH,JED-HRR2-RIYA-66,Inspection,GIS,02-Oct-25,OTC,11-Jan-26,ODBs No MP,(Sticker Installed),103,,Closed
MAKKAH,JED-HRR2-RIYA-66,Inspection,GIS,02-Oct-25,OTC,11-Jan-26,ODBs No MP,(Sticker Installed),103,,Closed
MAKKAH,JED-HRR2-RIYA-69,Inspection,GIS,02-Oct-25,OTC,27-Jan-26,ODBs No MP,(Sticker Installed),96,,Closed
MAKKAH,JED-HRR2-RIYA-68,Inspection,GIS,02-Oct-25,OTC,29-Jan-26,ODBs No MP,(Sticker Installed),114,,Closed
JIZAN,SAM-SMTH-KHAD-01,Inspection,GIS,15-Jan-26,OTC,03-Feb-26,Safety Penalty,"(No PPE, No safety Net, No Safety Lights, No Warning Signs, No Proper safety barricades, No Steel Plates)",6,"6,000.00 Ń.Ó.ţ",Closed
MAKKAH,JED-HRR2-SALH-03,Inspection,GIS,23-Oct-25,OTC,17-Feb-26,ODBs No MP,(Sticker Installed),156,,Closed
MAKKAH,JED-HRR2-SALH-02,Inspection,GIS,23-Oct-25,OTC,17-Feb-26,ODBs No MP,(Sticker Installed),177,,Closed
MAKKAH,JED-HRR2-SALH-04,Inspection,GIS,23-Oct-25,OTC,17-Feb-26,ODBs No MP,(Sticker Installed),156,,Closed
MAKKAH,JED-HRR2-SALH-08,Inspection,GIS,08-Dec-25,OTC,04-Mar-26,ODBs No MP,(Sticker Installed),138,,Closed
MAKKAH,JED-HRR2-SALH-12,Inspection,GIS,25-Dec-25,OTC,04-Mar-26,ODBs No MP,(Sticker Installed),230,,Closed
MAKKAH,JED-HRR2-SALH-06,Inspection,GIS,23-Oct-25,OTC,10-Mar-26,ODBs No MP,(Sticker Installed),18,,Closed
MAKKAH,JED-HRR2-SALH-09,Inspection,GIS,08-Dec-25,OTC,11-Mar-26,ODBs No MP,(Sticker Installed),13,,Closed
MAKKAH,JED-HRR2-SALH-19,Inspection,GIS,25-Dec-25,OTC,30-Mar-26,Quality Penalty,"(07 FQNs No Material Supply Form , No DN & BOQ)",14,"14,000.00 Ń.Ó.ţ",Closed
MAKKAH,JED-HRR2-SALH-18,Inspection,GIS,05-Mar-26,OTC,30-Mar-26,Quality Penalty,(12 FQNs No DN Provided),12,"12,000.00 Ń.Ó.ţ",Closed
MAKKAH,JED-HRR2-SALH-10,Inspection,GIS,08-Dec-25,OTC,02-Apr-26,ODBs No MP,(Sticker Installed),7,,Closed
JIZAN,DAI-ADAR-DAIR-01,Inspection,GIS,15-Jan-26,OTC,07-Apr-26,Quality Penalty,(Unapproved Cable Ties),1,"1,000.00 Ń.Ó.ţ",Closed
JIZAN,EDA-AYBN-EDAB-01,Inspection,GIS,04-Nov-25,OTC,07-Apr-26,Quality & Safety Penalty,"03 Quality & 01 Safety Penalty (Trench Collapsed, Trench Depth, Debris, Safety barricades not arranged properly)",4,"4,000.00 Ń.Ó.ţ",Closed
JIZAN,DAI-ADAR-DAIR-01,Inspection,GIS,15-Jan-26,OTC,07-Apr-26,Quality & Safety Penalty,"Trench collapsed, concreted without inspector approval, Laborers are not committing with the full PPE.",3,"3,000.00 Ń.Ó.ţ",Closed
Jeddah,JED-HRR2-SALH-11,Inspection,GIS,08-Dec-25,OTC,04-May-26,ODBs No MP,(Sticker Installed),173,,Closed
Jeddah,JED-HRR2-SALH-05,Inspection,GIS,23-Oct-25,OTC,04-May-26,ODBs No MP,(Sticker Installed),4,,Closed
,,,,,,,,,2508,"93,000.00 Ń.Ó.ţ",
